author,content,cover,works
几米,还记得吗？那年夏天，最灿烂，最寂寞的星空。,https://static.juzicon.com/imgs/burst/paris-rooftops-and-tree-lined-boulevards.jpg,《星空(几米图书)》
吕亦涵,"――你是我最璀璨的星辰。――而你，却是我的一整片星空。",,《伦敦的星光不散场》
盖亚,"星空之所以美丽，就是因为在无限的宇宙中，不管黑暗如何蔓延，都有星星的光芒去把它照亮。世界也是这样，有绝望的地方，就会有希望产生。",,《星游记》
亦心,夜晚的星空美，思念的人更美。,,《半城烟花半城浮云》
李志,"让我再看你一眼 星空和黑夜 西去而旋转的飞鸟我们生来就是孤独 我们生来就是孤单那不管你拥有什么 我们生来就是孤独",,《梵高先生》
新海诚,只顾仰望着星空的人注定不会留意到自己下一步是否会跨入深渊。,https://static.juzicon.com/imgs/cy/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20210521141557.jpg,《秒速五厘米》
,夜里，透过舷窗，透过云层，看见灯火阑珊的都市。看见你，正仰望着星空，不让眼泪掉下来。知否我也有个梦，要我醉倒？,,
张小砚,星空最灿烂的时刻，星光也只占天空的万分之一，可是你恰好看到了它们，那一刻，所有的空旷冷漠，都只是星光的背景。,,《走吧，张小砚》
,抬头，是星空；脚下，是梦想。梦想顶高了星空，让脚下的路更远。,,
爆米花,"在一个满月（刘耀文）的夜晚，我抱着盐汽水（严浩翔）和爆米花（TNT），来到了一个布满小气球（马嘉祺）的地方，一边哼着《小海螺》（宋亚轩） 一边在深海（贺峻霖）般的星空中寻找耀眼的比邻星（丁程鑫），还不停的挥舞着手中的真知棒（张真源），简直快哉！
破风云，定天下，时代少年并肩行！",https://static.juzicon.com/contribute/image-ad593621-3514-4c8a-ad0f-be2561fe91ee-210706115742-8BIK.jpg,《时代少年团》
,"仲夏夜茫，七月未央
仲夏夜晚，星空明亮。",,
夜幕,"我曾在门前拿着洁白的粉笔划一条条线 唱着歌也许是一只脚总羡慕他们跳的远 在星空出没之前妈妈会把我拉出黑夜 当我再次看到方格已经是黄昏渐晚 地面仍在跳动太阳藏在汗水里面快乐的歌谣飞旋 有一个胆大的孩子竟然跳出了地平线",,
陈奕迅,"天荒地老流连在摩天轮在高处凝望世界流动失落之处仍然会笑着哭人间的跌荡 默默迎送当生命似流连在摩天轮幸福处随时吻到星空惊栗之处仍能与你互拥仿佛游戏之中 忘掉轻重",,《幸福摩天轮》
淡蓝蓝蓝,传说中绝美浪漫的星空，如果不能和喜欢的人一起去看，情愿一个人去体于生才过地种空旷与利那人垠。,,《立没学上只这一朵哀伤的云》
,"晚上抬头一定要小心
因为
每一次的仰望星空
都会有一颗星星掉进眼睛里",https://static.juzicon.com/contribute/image-eee4615e-fbc3-48f6-8da0-6349998d287f-200926212502-ZLLI.jpeg,
贝拉维拉,对于一个单一的世界而言，诞生到毁灭都是相当漫长的事情，甚至足够它孕育数亿代灿烂的文明，但对于整个虚空，世界的诞生与毁灭却每时每刻都在发生。据说在那些永恒的神族眼中，多元宇宙最密集的地方甚至如同星空，无数可能承载了高智慧文明的世界就如同繁星一般闪烁，瞬间便是万千生死创灭。,,《希灵帝国》
,"我想我还在等
等你说早已不可能
星空下的眼泪
再也忍不住崩溃
                     /摩天轮的思恋/",,
郭敬明,它的安静像是夏夜巨大的星空，覆盖着整个地球，却温柔得无声无息。,,《夏至未至》
,漫漫星空、凝望着的人、独行雨中，眼中自有光芒。,,
,与其仰望星空，不如去做摘星星的人💨,https://static.juzicon.com/contribute/image-e276a572-72ca-4eb0-9f04-c05d83259052-200929081925-LZDN.jpeg,
,岁月的痕迹带走了那往日的红颜。琉纱月影间苍白了那残暴的彩璃。君依月、堕残蝶、痴笑烟花几许梦。清风不解流云语，几番不知落花意。醉里不知流年尽，当时只知笑如嫣。独看星空斗转移，不知桑田化桑田。一纸涂鸦，卧听前世辛酸泪，暗香微笑尘世缘。,,
,"这温吞世俗 人间烟火
唯有你才是我的山川星空 日月星辰",https://static.juzicon.com/contribute/image-edfc8425-75e6-4515-b64f-43a78d7b7081-200831015512-6RWI.jpeg,
,桂花的香味被深秋细雨打碎在十月的指尖，我躺在没有星空的黑夜里。感受着诗意的孤独，也向你寄去七里的思念,,
程浩,这世界，不是每个人都有机会做自己想做的事情，但是我们应该尽量去做那些正确的事情。纵使不能抵挡黑夜的来临，我们也要站在星空下仰望光明。,https://static.juzicon.com/contribute/image-b204b5f7-f1cb-4a3c-b1df-bbbdaf8fe056-200622220427-EF1W.jpeg,《站在两个世界的边缘》
白槿湖,他画一幅漫画，画中的女子，抱膝坐在黑暗中哭，头顶是一片星空，背后有一轮明月，侧身还有一个灿烂的太阳对着她。那个哭泣的女子，是她。画底下还有一小行文字：就算身在黑夜，也要知道，星空，太阳，月光，始终都在，未曾离开。我们看不见光明，但光明一直都存在。,,《如果巴黎不快乐》
,不是所有星空闪烁都是绚丽，或许它只为划破黑夜静静呼吸,,
歓阿森,陈诉黑夜无光故借梵高一笔点缀星空，明亮入眼陷入惊鸿，珠入我心永垂不朽/ 陈明珠,,
